typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"S","A","20220101","2022","52","2022","156","CHN","China","M","Import","0","W00","World","0","W00","World","EB10","EB","true","200","Total EBOPS 2010 Services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","461255524753",,"461255524753","0","true","false",
"S","A","20220101","2022","52","2022","156","CHN","China","X","Export","0","W00","World","0","W00","World","EB10","EB","true","200","Total EBOPS 2010 Services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","368952755652",,"368952755652","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","462002972391.27",,"462002972391.27","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","32","ARG","Argentina","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","291694470.51",,"291694470.51","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","36","AUS","Australia","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1669082078.55",,"1669082078.55","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","40","AUT","Austria","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","23029120489.47",,"23029120489.47","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","56","BEL","Belgium","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","7037523994.29",,"7037523994.29","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","76","BRA","Brazil","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","883507800.57",,"883507800.57","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","100","BGR","Bulgaria","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","544426141.71",,"544426141.71","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","124","CAN","Canada","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1378440656.67",,"1378440656.67","0","true","false",
